time_stamp,number_of_dead_nodes,number_of_monitored_target,lowest_node_energy,lowest_node_location,theta,avg_energy,average_used_of_each_node,average_used_of_each_node_this_second,average_charged_of_each_node_per_time,MC_0_status,MC_1_status,MC_2_status,MC_0_location,MC_1_location,MC_2_location
1,0,50,10800.0,"[924.2411710770647, 778.6934070898405]",0.4,0.0,0.0,0.0,0,deactivated,deactivated,deactivated,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
501,0,50,10604.802,"[533.1538906244605, 546.0781949586506]",0.4,-0.09250873740365986,45.82524168046804,0.09146754826440727,0,deactivated,deactivated,deactivated,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
1001,0,50,10408.656,"[533.1538906244605, 546.0781949586506]",0.4,-0.09088394754934698,90.95509367104427,0.09086422944160266,0,deactivated,deactivated,deactivated,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
1501,0,50,10209.959,"[533.1538906244605, 546.0781949586506]",0.4,-0.09160698271226077,136.53382007178095,0.09096190544422449,0,deactivated,deactivated,deactivated,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
2001,0,50,10015.199,"[533.1538906244605, 546.0781949586506]",0.4,-0.09249172827755159,182.12473665317663,0.09101685989663999,0,deactivated,deactivated,deactivated,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
2501,0,50,9817.449,"[533.1538906244605, 546.0781949586506]",0.4,-0.09267310114552933,228.20812600533336,0.09124675170145276,0,deactivated,deactivated,deactivated,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
3001,0,50,9621.595,"[533.1538906244605, 546.0781949586506]",0.4,-0.0905868328035671,274.09366763611285,0.09133411117497929,0,deactivated,deactivated,deactivated,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
3501,0,50,9428.146,"[533.1538906244605, 546.0781949586506]",0.4,-0.09238318942458974,319.9639554021416,0.09139216092606159,0,deactivated,deactivated,deactivated,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
4001,0,50,9233.677,"[533.1538906244605, 546.0781949586506]",0.4,-0.08971547210622165,365.36349214519544,0.0913180435254175,0,deactivated,deactivated,deactivated,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
4501,0,50,9039.426,"[533.1538906244605, 546.0781949586506]",0.4,-0.0924208411070632,410.89754479766015,0.09129027878197293,0,deactivated,deactivated,deactivated,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
